日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
9/06,軟體測試工程師(台南/竹南),群創光電股份有限公司,台南市新市區科學路160號/台南市新市區環西路一段3號,待遇面議,"歡迎對軟體開發有熱情並勇於挑戰的你加入我們。我們需要強大的測試工程師來發現與解決各種問題，因此，你將會執行以下工作：1. 擬定測試計畫與評估測試時程。2. 根據產品規格撰寫測試案例。3. 驗證規格、功能性測試、整合性測試、相容性測試…並確保產品可用性。4. 測試平台：Web/Mobile Web/APP (Android/iOS)。. 問題回饋、問題追蹤，協助RD確認root cause並加以驗證。6. 整理測試結果，針對測試結果提出改善項目與團隊成員討論。7. 維護品質管理紀錄及報表。8. 監控前後台各項數據，對異常情況進行初步盤查。如果您有以下的工作技能與經驗，請立即提出申請:1. 熟悉各類基本測試工具使用 (Postman, JMeter)2. 熟悉自動化測試相關工具 (Selenium/Appium, Jenkins/GitLab pipeline, BDD test framework, Robot Framework)3. 具 Web/Mobile Web/APP (Android/iOS) 測試經驗4. Git, Gitflow, GitLab. Prometheus / ELK tools",台南市新市區,1年以上,碩士,上市上櫃,7ylhp,www.104.com.tw/job/7ylhp?jobsource=jolist_c_relevance
8/31,軟體工程師,中揚光電股份有限公司,台中市南屯區工業區二十二路21號,"35,000",你熱愛軟體工程嗎？我們正在找尋熱衷於程式語言開發、軟體設計等的軟體工程師加入我們的團隊！如果你對於這些領域充滿熱情，即便沒有經驗，只要想要挑戰自己，我們都歡迎你的加入。工作內容：1.根據專案需求使用程式語言進行開發設計。2.參與軟體介面設計和開發，打造直覺且易用的介面。3.負責程式設計和系統開發，建立高效且可擴展的軟體系統。4.探索最新的技術趨勢，進行先進技術研究。.根據主管指示完成相關工作。,台中市南屯區,經歷不拘,專科,員工300人,7klez,www.104.com.tw/job/7klez?jobsource=jolist_c_relevance
9/05,演算工程助理,穎利科研國際事業有限公司,台中市西區台灣大道二段2號9樓之3,"27,000",徵求 有高度學習意願、有Python等程式語言基本編程技能的「演算工程助理」！ChatGPT引發革命性開發熱潮及廣泛應用，讓各行各業有了加速升級的契機！「學會操作AI」更成為現代職場的必要顯學！穎利科研公司是擅長應用生成式AI協作的軟體開,台中市西區,經歷不拘,專科,員工8人,75gob,www.104.com.tw/job/75gob?jobsource=jolist_c_relevance
9/04,【品質管理】品質工程師-后里廠-R10,友達光電股份有限公司,台中市后里區馬場路1號,待遇面議,1.品質風險評估/管控2.模型建立/程式開發/報表監控,台中市后里區,經歷不拘,大學,上市上櫃,81b1f,www.104.com.tw/job/81b1f?jobsource=jolist_c_relevance
9/05,【高雄】MIS資訊工讀生(在學身分可全日班),長春人造樹脂廠股份有限公司,高雄市大社區興工路1-3號,"26,400",1.機房管理(硬體、系統、網路通訊、資安等範疇)2.資訊系統維護作業3.例行性事務處理職務分類：◆資訊基礎建設系統管理維運◆資通安全應用程式開發（後端＆全端）若具應徵意願者，除104履歷投遞外※請務必至本集團人力招募網站填寫各項必要資料(請參閱備註事項)※,高雄市大社區,經歷不拘,大學,員工4000人,7zzg3,www.104.com.tw/job/7zzg3?jobsource=jolist_c_relevance
9/07,設備開發工程師,宏崴實業有限公司,高雄市苓雅區光華一路206號8樓之8,"55,000",修與安裝6.協助客戶進行工件打樣後給予最佳參數建議7.對產品進行研發與升級8.配合業務人員對客戶進行設備安裝與教育訓練9.熟悉程式語言C#、C++、Python等10.具備基本美學觀念11.具備基本外語能力12.跨部門工作與協調能力,高雄市苓雅區,經歷不拘,大學,員工10人,82ls1,www.104.com.tw/job/82ls1?jobsource=jolist_c_relevance
9/06,人工智慧與機器視覺工程師(台南),群創光電股份有限公司,台南市新市區環西路一段3號,待遇面議,1.運用深度學習與機器視覺開發AOI檢測系統2.機器視覺2D/3D檢測、定位、量測演算法開發3.機器視覺軟硬體整合與自動化設備通訊4.熟悉C++或Python尤佳.具深度學習的開發有相關背景及實務經驗尤佳,台南市新市區,經歷不拘,碩士,上市上櫃,5tiu2,www.104.com.tw/job/5tiu2?jobsource=jolist_c_relevance
9/05,數據分析師(碩士),弈樂科技股份有限公司,台中市西屯區安和東路3號6樓,"44,000",***應徵時請附上作品集、文案、自傳、證照等加分文件***1.	需求分析及規劃資料萃取、資料清理 2.	數據分析、資訊視覺化、說明分析結果、提出建議及後續成效評估 3.	蒐集競業資訊、報表整理※工作待遇依個人經歷及專長等條件參考核定，如相關經歷豐富可議更優渥薪資，歡迎能力優秀的您應徵面談,台中市西屯區,經歷不拘,碩士,員工200人,7n8pl,www.104.com.tw/job/7n8pl?jobsource=jolist_c_relevance
9/06,數位化專案助理,台灣櫻井股份有限公司,高雄市前鎮區西十街10-3號,"35,000","工作內容:1.ERP專案導入(供應商協作,需求訪談/流程規劃/系統維護)2. 辦公室數位化(公文簽核/差旅休假考績系統/品質管理/設計自動化)3. 跨部門商務流程支援管理4.其他主管交辦事項",高雄市前鎮區,經歷不拘,專科,,81wkn,www.104.com.tw/job/81wkn?jobsource=jolist_c_relevance
9/01,醫療器材_資深軟體/韌體工程師 (台南),澳門商原妙醫學科技有限公司台灣分公司,台南市南區西門路一段655號6樓,待遇面議,工作內容：1、孰悉CCD/CMOS sensor影像訊號處理 2、熟悉嵌入式系統 (embedded system) 開發3、有興趣醫療內視鏡軟件開發4、規劃及執行產品控制單元設計。、規劃執行產品韌體之撰寫，並維護量產產品。6、執行、協助或配合韌體新技術之研發、導入。7、執行產品韌體測試。8、控制韌體開發進度,台南市南區,1年以上,大學,,70w97,www.104.com.tw/job/70w97?jobsource=jolist_c_relevance
8/31,軟體工程師,源昇整合方案智財股份有限公司,台中市西屯區河南路一段170號5樓-3,"50,000",PHP、PYTHON ，熟悉資料庫、AWS,台中市西屯區,經歷不拘,高中,員工30人,7eju1,www.104.com.tw/job/7eju1?jobsource=jolist_c_relevance
8/30,AIoT 軟體設計工程師,億集創見應用科技股份有限公司,台中市西區臺灣大道二段239號7樓之4,待遇面議," RS485, UART等之任一通訊協議開發設計經驗佳2. 熟悉多執行緒與物件導向佳3. 具Python、C++、php發經驗佳4. 具Network Protocols知識佳. 對物聯網，IoT有熱誠者尤佳6. 合作和溝通的能力，能獨立開發",台中市西區,經歷不拘,大學,員工50人,7kv96,www.104.com.tw/job/7kv96?jobsource=jolist_c_relevance
9/07,AI演算法工程師,大立光電股份有限公司,台中市南屯區精科路11號,待遇面議,1. 機器視覺暨AI演算法開發實作2. AI演算法的設計和應用,台中市南屯區,經歷不拘,碩士,上市上櫃,6b5x2,www.104.com.tw/job/6b5x2?jobsource=jolist_c_relevance
9/07,AOI視覺影像工程師,大立光電股份有限公司,台中市南屯區精科路11號,待遇面議,1. AOI影像軟體開發。2. AOI系統整合開發、驗證。,台中市南屯區,經歷不拘,碩士,上市上櫃,3yi8a,www.104.com.tw/job/3yi8a?jobsource=jolist_c_relevance
9/07,遊戲機率設計工程師-視訊面試,尊博科技股份有限公司,台中市西屯區工業38路210號6樓之3,"45,000",**  C++/ Python/ R (或任意程式語言) 如有一擅長，歡迎投遞履歷 **1.遊戲設計    設定遊戲的表現特點、玩法與規則    規劃遊戲的體驗流程、撰寫規格文件2.遊戲數學計算    熟悉排列組合、機率理論與馬可夫,台中市西屯區,經歷不拘,學歷不拘,員工200人,2adhj,www.104.com.tw/job/2adhj?jobsource=jolist_c_relevance
