日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
9/06,PHP後端工程師,冶金數位科技有限公司,台中市西屯區市政路402號13樓之B室,待遇面議,JavaScript、Python(加分項)。8.具備良好的團隊合作能力與溝通技巧。,台中市西屯區,1年以上,大學,員工30人,7ndw3,www.104.com.tw/job/7ndw3?jobsource=jolist_d_relevance
9/05,應用軟體研發工程師,無間科技股份有限公司,台中市大里區東湖里科技路3號7樓之2,"30,000",1. 雲端應用軟體系統前後端程式開發 2.AI影像辨識系統開發與維護 3.APP程式開發 4.維護既有產品、專案系統  ,台中市大里區,1年以上,專科,員工15人,7lsdn,www.104.com.tw/job/7lsdn?jobsource=jolist_d_relevance
9/06,[大數據股市掘金系統] 專案工程師/助理工程師,全富數位有限公司,台中市北區崇德路一段631號17樓之3,"30,000",本單位專注於股市分析&預測，職務內容如下*股市數據資料爬蟲*股市數據收集之CRUD*收集數據分析/套用模型,台中市北區,經歷不拘,學歷不拘,員工100人,7512l,www.104.com.tw/job/7512l?jobsource=jolist_d_relevance
9/04,【生產製造】智慧製造工程師-台中廠-R10,友達光電股份有限公司,台中市西屯區中科路1號,待遇面議,1.以機器及深度學習改善工廠生產2.整合製程數據進行深度學習模型建構3.協助智慧製造專案開發與廠區平行展開   (生產排程優化、設備預警、良率提升、影像識別等),台中市西屯區,經歷不拘,碩士,上市上櫃,6jm35,www.104.com.tw/job/6jm35?jobsource=jolist_d_relevance
9/07,自動化軟體工程師,大立光電股份有限公司,台中市南屯區精科路11號,待遇面議,1. 自動化設備自主開發之軟體設計。2. 機器人程式開發與維護。3. 機台控制系統的導入與開發。4. 設備開發試、量產驗正與問題點分析。,台中市南屯區,經歷不拘,大學,上市上櫃,40nxo,www.104.com.tw/job/40nxo?jobsource=jolist_d_relevance
8/31,軟體測試工程師 - 金融業(台中烏日),伊普資訊股份有限公司,台中市烏日區,待遇面議,險等。2. 具備自動化測試經驗，不限語言。3. 有敏捷開發經驗。4. 熟悉一種程式語言(Python/Java 尤佳)。. 網站的壓力測試或負載測試經驗，並且使用過相關測試工具，例如：     Jmeter/Locust/wrk等。,台中市烏日區,2年以上,高中,員工10人,831u9,www.104.com.tw/job/831u9?jobsource=jolist_d_relevance
8/30,全端工程師,盈聖股份有限公司,台中市南屯區大墩十一街346巷11號,"48,000","A.可開發、維護平台營運網站、後台管理系統平台B.第三方 API 串接（金流,  FB, LINE API... etc.）C.協助數據資料整理及報表建置職務技能    1. 使用 PHP VUE.js開發    2. 熟悉 PHP VUE MVC架構使用 Laravel 框架    3. 熟悉 PHP Router路由概念    4. 能夠部署與規劃 RESTful API與 OAuth2",台中市南屯區,2年以上,大學,員工10人,7wt3i,www.104.com.tw/job/7wt3i?jobsource=jolist_d_relevance
9/06,產品軟體開發工程師(研發中心),彥豪金屬工業股份有限公司,台中市西屯區市政北二路238號23樓B2(鼎盛大樓),"45,000",1.負責產品測試軟體開發2.建置及維護產線軟體3.建置資料庫4.撰寫技術文件、測試規劃.主管交代事項,台中市西屯區,經歷不拘,專科,員工880人,7hlrd,www.104.com.tw/job/7hlrd?jobsource=jolist_d_relevance
8/25,系統軟韌體工程師,九灃興業股份有限公司,台中市大雅區大林路322巷61號,"40,000",1. 嵌入式系統軟韌體開發整合  2. 嵌入式系統新平台前期開發與環境熟悉  3. Bug 分析及除錯  4. 新技術/新平台之可行性研究  . 依據開發流程撰寫相關技術文件  6. 軟硬體系統連線管理  ,台中市大雅區,經歷不拘,專科,員工70人,7ai1y,www.104.com.tw/job/7ai1y?jobsource=jolist_d_relevance
9/05,Data Engineer with Databrick數據工程師(台中台南皆可),葳誠科技有限公司,台中市西屯區科園路一號,"900,000",", SQL2. Familiar with Python dataframe3. Platform experience is plus, e.g. Databricks, Gitlab• 三年以上Databricks, Python",台中市西屯區,經歷不拘,大學,員工25人,7cgi7,www.104.com.tw/job/7cgi7?jobsource=jolist_d_relevance
9/07,自動化測試工程師 (台中)-線上面試,九七科技股份有限公司,台中市西屯區,"40,000",必要條件1.熟悉程式語言：Java、JavaScript、Python..等2.熟悉Appium、Selenium、Airtest、Cypress.io..等自動化工具3.具有Git或相關版本控制工具使用經驗4.具資料庫操作能力*,台中市西屯區,2年以上,大學,,7ug0c,www.104.com.tw/job/7ug0c?jobsource=jolist_d_relevance
9/06,半導體自動化＿專用設備研發主管(機電整合高階人才)_台中分公司,萬潤科技股份有限公司,台中市西屯區工業區三十七路18號,"2,500",1.負責部門營運績效。2.客戶端的技術性相關的溝通與協調。3.擔任團隊領導及跨部門溝通協調之角色。4.負責專用自動化設備研發管理之行政管理工作。.具備整合自動化設備機構、電控及軟體的能力。6.研發專案推行、技術移轉。7.研發人才的培訓。,台中市西屯區,10年以上,大學,上市上櫃,7sddf,www.104.com.tw/job/7sddf?jobsource=jolist_d_relevance
9/07,韌體工程師,大立光電股份有限公司,台中市南屯區精科路11號,待遇面議,(1)	自動化設備韌體開發 (2)	具備Microsoft Windows程式設計能力(3)	具備FPGA系統驗證、測試、開發能力(4)	自動化系統測試與驗證,台中市南屯區,經歷不拘,碩士,上市上櫃,6ff9l,www.104.com.tw/job/6ff9l?jobsource=jolist_d_relevance
